Date (yyyy-MMM-dd hh:mm),Latitude (N),Longitude (W),Temperature (C),Pressure (dbar),Speed (cm/s),Bottom Depth (m)
10/18/2016 0:00,24.835,-95.846,4.381,1448.5,NaN,-2437
10/18/2016 8:00,24.821,-95.856,4.404,1453.9,8.007952298,-2429
10/18/2016 16:00,24.799,-95.869,4.386,1448.4,11.24272654,-2381
10/19/2016 0:00,24.777,-95.898,4.375,1453.4,11.58199033,-2329
10/19/2016 8:00,24.752,-95.91,4.376,1451.2,12.75906736,-2363
10/19/2016 16:00,24.718,-95.931,4.386,1454.4,12.09255143,-2414
10/20/2016 0:00,24.713,-95.964,4.343,1449,9.286791696,-2298
10/20/2016 8:00,24.688,-95.972,4.397,1455.1,12.11559739,-2346
10/20/2016 16:00,24.653,-95.985,4.358,1445.9,14.92698228,-2442
10/21/2016 0:00,24.623,-96.019,4.336,1447.4,15.17262008,-2280
10/21/2016 8:00,24.593,-96.041,4.38,1455.8,14.26171448,-2157
10/21/2016 16:00,24.559,-96.059,4.368,1457.7,15.07728424,-2038
10/22/2016 0:00,24.526,-96.084,4.365,1455.8,13.1552613,-2181
10/22/2016 8:00,24.508,-96.108,4.382,1454.9,10.45074638,-2313
10/22/2016 16:00,24.481,-96.117,4.368,NaN,12.11108996,-2524
10/23/2016 0:00,24.45,-96.136,4.352,1448.8,12.33202741,-2530
10/23/2016 8:00,24.421,-96.143,4.359,1453.7,10.11328829,-2451
10/23/2016 16:00,24.399,-96.147,4.344,1453.7,12.33775101,-2425
10/24/2016 0:00,24.358,-96.152,4.356,1454.2,9.861465408,-2497
10/24/2016 8:00,24.348,-96.146,4.353,1452.1,6.154689269,-2513
10/24/2016 16:00,24.326,-96.147,4.334,1452.1,9.020448991,-2505
10/25/2016 0:00,24.301,-96.145,4.346,1453.8,8.8319024,-2260
10/25/2016 8:00,24.281,-96.14,4.34,1452.4,8.676041724,-2265
10/25/2016 16:00,24.257,-96.134,4.317,1456.6,8.092372952,-2261
10/26/2016 0:00,24.241,-96.126,4.312,1453.9,8.757630958,-2079
10/26/2016 8:00,24.213,-96.123,4.301,1449.5,9.582197034,-2077
10/26/2016 16:00,24.192,-96.12,4.321,1452.6,6.094989746,-2175
10/27/2016 0:00,24.182,-96.131,4.306,1452.4,5.801146438,-2119
10/27/2016 8:00,24.164,-96.132,4.306,1451.8,7.254929359,-2112
10/27/2016 16:00,24.145,-96.125,4.301,1452.8,7.257506459,-2293
10/28/2016 0:00,24.126,-96.13,4.324,1452.9,6.936000288,-2394
10/28/2016 8:00,24.109,-96.132,4.302,1454.4,5.024519878,-2408
10/28/2016 16:00,24.101,-96.136,4.319,1452,3.243763247,-2383
10/29/2016 0:00,24.093,-96.136,4.308,1455.6,6.776761764,-2370
10/29/2016 8:00,24.067,-96.127,4.304,1452.4,7.875258726,-2325
10/29/2016 16:00,24.052,-96.138,4.304,1452.2,4.623905276,-2242
10/30/2016 0:00,24.043,-96.133,4.305,1453.1,4.756185446,-2237
10/30/2016 8:00,24.028,-96.132,4.304,1451.6,6.740007418,-2197
10/30/2016 16:00,24.008,-96.133,4.307,1453.1,6.884540653,-2173
10/31/2016 0:00,23.993,-96.133,4.298,1451.2,5.069250438,-2169
10/31/2016 8:00,23.983,-96.139,4.305,1452.6,5.558650915,-2154
10/31/2016 16:00,23.964,-96.135,4.303,1449.6,7.880101522,-2191
11/1/2016 0:00,23.942,-96.14,4.309,1454.3,5.3295497,-2230
11/1/2016 8:00,23.938,-96.146,4.299,1454,4.562948608,-2207
11/1/2016 16:00,23.921,-96.152,4.294,1450.8,7.013429974,-2286
11/2/2016 0:00,23.902,-96.154,4.31,1453.4,7.013201837,-2385
11/2/2016 8:00,23.885,-96.16,4.297,1451.6,6.486246989,-2380
11/2/2016 16:00,23.873,-96.172,4.306,1452.3,6.707145443,-2303
11/3/2016 0:00,23.853,-96.175,4.306,1454,6.81510088,-2232
11/3/2016 8:00,23.84,-96.186,4.31,1452.6,4.951767361,-2191
11/3/2016 16:00,23.836,-96.195,4.312,1453.4,2.673013281,-2162
11/4/2016 0:00,23.833,-96.199,4.31,1453.8,3.069136686,-2148
11/4/2016 8:00,23.825,-96.207,4.306,1452.7,3.712276929,-2117
11/4/2016 16:00,23.821,-96.215,4.314,1453.8,3.005395149,-2089
11/5/2016 0:00,23.824,-96.224,4.303,1455.1,2.633191979,-2063
11/5/2016 8:00,23.826,-96.229,4.305,1452.4,3.591684841,-2053
11/5/2016 16:00,23.824,-96.245,4.321,1454,4.662027456,-2014
11/6/2016 0:00,23.832,-96.255,4.321,1454.5,3.566356684,-1992
11/6/2016 8:00,23.838,-96.258,4.308,1454.1,4.857211134,-1988
11/6/2016 16:00,23.853,-96.27,4.318,1453,5.884666516,-1985
11/7/2016 0:00,23.861,-96.28,4.326,1454.8,5.676090204,-1987
11/7/2016 8:00,23.876,-96.289,4.325,1455.6,6.325037549,-2050
11/7/2016 16:00,23.891,-96.294,4.335,1456.8,4.986792556,-2098
11/8/2016 0:00,23.901,-96.295,4.335,1456,5.338923112,-2101
11/8/2016 8:00,23.918,-96.301,4.336,1457.2,6.139218191,-2035
11/8/2016 16:00,23.933,-96.303,4.33,1457.3,5.729825477,-1964
11/9/2016 0:00,23.947,-96.293,4.333,1456.8,6.875929028,-1929
11/9/2016 8:00,23.959,-96.276,4.339,1458.3,6.495544627,-1923
11/9/2016 16:00,23.966,-96.262,4.336,1458.3,6.614809143,-1970
11/10/2016 0:00,23.987,-96.255,4.338,1457.6,6.080542739,-2068
11/10/2016 8:00,23.986,-96.236,4.321,1456.3,5.338857556,-2073
11/10/2016 16:00,23.992,-96.226,4.345,1459.4,5.683326491,-2075
11/11/2016 0:00,24.002,-96.209,4.338,1456.4,6.899101391,-2068
11/11/2016 8:00,24.007,-96.19,4.341,1459.1,4.920376002,-2058
11/11/2016 16:00,24.013,-96.183,4.346,1459,5.491247581,-2078
11/12/2016 0:00,24.028,-96.169,4.352,1459.7,5.986000334,-2119
11/12/2016 8:00,24.037,-96.163,4.356,1461.1,4.750157892,-2144
11/12/2016 16:00,24.052,-96.162,4.351,1459.9,4.025940884,-2186
