Date (yyyy-MMM-dd hh:mm),Latitude (N),Longitude (W),Temperature (C),Pressure (dbar),Speed (cm/s),Bottom Depth (m),Depth (m)
9/14/2012 8:00,22.131,-96.643,4.261,1574.5,1.304952106,-2065.0,-1565.85
9/14/2012 16:00,22.131,-96.644,4.27,1577.5,2.856588875,-2065.0,-1568.83
9/15/2012 0:00,22.135,-96.629,4.277,1578.2,4.501388675,-2028.0,-1569.53
9/15/2012 8:00,22.133,-96.626,4.259,1576.6,1.154123044,-1996.0,-1567.94
9/15/2012 16:00,22.135,-96.624,4.262,1578.2,5.229196879,-2016.0,-1569.53
9/16/2012 0:00,22.137,-96.605,4.279,1580.8,4.127820248,-1985.0,-1572.11
9/16/2012 8:00,22.128,-96.608,4.273,1579.8,3.804655043,-2025.0,-1571.12
9/16/2012 16:00,22.129,-96.611,4.261,1579.6,2.831342438,-2014.0,-1570.92
9/17/2012 0:00,22.135,-96.602,4.273,1581.2,6.309167932,-1983.0,-1572.51
9/17/2012 8:00,22.125,-96.584,4.279,1582.3,6.402515131,-2073.0,-1573.61
9/17/2012 16:00,22.113,-96.591,4.268,1581.2,4.179677021,-2105.0,-1572.51
9/18/2012 0:00,22.121,-96.595,4.268,1581.2,4.968057971,-2061.0,-1572.51
9/18/2012 8:00,22.124,-96.577,4.277,1583.1,7.479144336,-2085.0,-1574.4
9/18/2012 16:00,22.108,-96.568,4.273,1581.9,6.373892061,-2136.0,-1573.21
9/19/2012 0:00,22.102,-96.578,4.268,1582.1,4.857736098,-2145.0,-1573.41
9/19/2012 8:00,22.116,-96.577,4.269,1581.5,7.088652904,-2108.0,-1572.81
9/19/2012 16:00,22.112,-96.554,4.277,1582.8,5.704349218,-2137.0,-1574.1
9/20/2012 0:00,22.104,-96.559,4.274,1582.5,3.889318706,-2154.0,-1573.8
9/20/2012 8:00,22.107,-96.568,4.268,1582.2,6.087133973,-2136.0,-1573.51
9/20/2012 16:00,22.117,-96.575,4.271,1582.6,4.195056615,-2095.0,-1573.9
9/21/2012 0:00,22.111,-96.555,4.273,1583.4,3.204122345,-2127.0,-1574.7
9/21/2012 8:00,22.109,-96.567,4.265,1582.8,2.880069444,-2122.0,-1574.1
9/21/2012 16:00,22.112,-96.564,4.269,1584.3,3.751226466,-2123.0,-1575.59
9/22/2012 0:00,22.124,-96.57,4.274,1583.0,3.491718774,-2073.0,-1574.3
9/22/2012 8:00,22.124,-96.559,4.262,1581.8,4.222321636,-2066.0,-1573.11
9/22/2012 16:00,22.115,-96.563,4.268,1583.0,3.610678607,-2104.0,-1574.3
9/23/2012 0:00,22.125,-96.568,4.268,1580.2,5.369785843,-2073.0,-1571.52
9/23/2012 8:00,22.134,-96.558,4.272,1583.0,3.172459614,-2029.0,-1574.3
9/23/2012 16:00,22.132,-96.555,4.266,1581.7,1.617219837,-2043.0,-1573.01
9/24/2012 0:00,22.131,-96.554,4.268,1582.5,3.050835951,-2045.0,-1573.8
9/24/2012 8:00,22.137,-96.567,4.267,1580.9,3.934984117,-2063.0,-1572.21
9/24/2012 16:00,22.141,-96.565,4.263,1581.3,3.806441908,-2069.0,-1572.61
9/25/2012 0:00,22.141,-96.558,4.265,1581.9,1.909188309,-2059.0,-1573.21
9/25/2012 8:00,22.137,-96.572,4.266,1581.7,6.538516651,-2077.0,-1573.01
9/25/2012 16:00,22.141,-96.578,4.266,1581.5,6.625299993,-2086.0,-1572.81
9/26/2012 0:00,22.148,-96.556,4.264,1582.0,1.312440475,-2143.0,-1573.31
9/26/2012 8:00,22.142,-96.574,4.263,1580.9,7.638514253,-2116.0,-1572.21
9/26/2012 16:00,22.138,-96.582,4.261,1581.9,2.93955779,-2060.0,-1573.21
9/27/2012 0:00,22.146,-96.59,4.264,1580.6,1.647786394,-2046.0,-1571.92
9/27/2012 8:00,22.142,-96.586,4.259,1581.7,2.861485628,-2041.0,-1573.01
9/27/2012 16:00,22.134,-96.592,4.259,1580.6,3.823937761,-1994.0,-1571.92
9/28/2012 0:00,22.127,-96.585,4.26,1581.3,1.088117641,-2061.0,-1572.61
9/28/2012 8:00,22.131,-96.598,4.256,1580.5,3.061143577,-2003.0,-1571.82
9/28/2012 16:00,22.122,-96.598,4.264,1581.3,2.227487374,-2056.0,-1572.61
9/29/2012 0:00,22.123,-96.604,4.257,1580.9,1.133578405,-2053.0,-1572.21
9/29/2012 8:00,22.114,-96.602,4.26,1581.1,3.910306893,-2099.0,-1572.41
9/29/2012 16:00,22.112,-96.616,4.256,1580.2,1.796273921,-2103.0,-1571.52
9/30/2012 0:00,22.105,-96.605,4.263,1579.4,5.683396872,-2134.0,-1570.72
9/30/2012 8:00,22.097,-96.603,4.259,1579.7,4.615213971,-2147.0,-1571.02
9/30/2012 16:00,22.089,-96.614,4.259,1581.4,3.114642837,-2129.0,-1572.71
10/1/2012 0:00,22.086,-96.612,4.261,1580.7,5.298122309,-2130.0,-1572.01
