Date (yyyy-MMM-dd hh:mm),Latitude (N),Longitude (W),Temperature (C),Pressure (dbar),Speed (cm/s),Bottom Depth (m)
9/14/2012 8:00,22.131,-96.643,4.261,1574.5,1.304952106,-2065
9/14/2012 16:00,22.131,-96.644,4.27,1577.5,2.856588875,-2065
9/15/2012 0:00,22.135,-96.629,4.277,1578.2,4.501388675,-2028
9/15/2012 8:00,22.133,-96.626,4.259,1576.6,1.154123044,-1996
9/15/2012 16:00,22.135,-96.624,4.262,1578.2,5.229196879,-2016
9/16/2012 0:00,22.137,-96.605,4.279,1580.8,4.127820248,-1985
9/16/2012 8:00,22.128,-96.608,4.273,1579.8,3.804655043,-2025
9/16/2012 16:00,22.129,-96.611,4.261,1579.6,2.831342438,-2014
9/17/2012 0:00,22.135,-96.602,4.273,1581.2,6.309167932,-1983
9/17/2012 8:00,22.125,-96.584,4.279,1582.3,6.402515131,-2073
9/17/2012 16:00,22.113,-96.591,4.268,1581.2,4.179677021,-2105
9/18/2012 0:00,22.121,-96.595,4.268,1581.2,4.968057971,-2061
9/18/2012 8:00,22.124,-96.577,4.277,1583.1,7.479144336,-2085
9/18/2012 16:00,22.108,-96.568,4.273,1581.9,6.373892061,-2136
9/19/2012 0:00,22.102,-96.578,4.268,1582.1,4.857736098,-2145
9/19/2012 8:00,22.116,-96.577,4.269,1581.5,7.088652904,-2108
9/19/2012 16:00,22.112,-96.554,4.277,1582.8,5.704349218,-2137
9/20/2012 0:00,22.104,-96.559,4.274,1582.5,3.889318706,-2154
9/20/2012 8:00,22.107,-96.568,4.268,1582.2,6.087133973,-2136
9/20/2012 16:00,22.117,-96.575,4.271,1582.6,4.195056615,-2095
9/21/2012 0:00,22.111,-96.555,4.273,1583.4,3.204122345,-2127
9/21/2012 8:00,22.109,-96.567,4.265,1582.8,2.880069444,-2122
9/21/2012 16:00,22.112,-96.564,4.269,1584.3,3.751226466,-2123
9/22/2012 0:00,22.124,-96.57,4.274,1583,3.491718774,-2073
9/22/2012 8:00,22.124,-96.559,4.262,1581.8,4.222321636,-2066
9/22/2012 16:00,22.115,-96.563,4.268,1583,3.610678607,-2104
9/23/2012 0:00,22.125,-96.568,4.268,1580.2,5.369785843,-2073
9/23/2012 8:00,22.134,-96.558,4.272,1583,3.172459614,-2029
9/23/2012 16:00,22.132,-96.555,4.266,1581.7,1.617219837,-2043
9/24/2012 0:00,22.131,-96.554,4.268,1582.5,3.050835951,-2045
9/24/2012 8:00,22.137,-96.567,4.267,1580.9,3.934984117,-2063
9/24/2012 16:00,22.141,-96.565,4.263,1581.3,3.806441908,-2069
9/25/2012 0:00,22.141,-96.558,4.265,1581.9,1.909188309,-2059
9/25/2012 8:00,22.137,-96.572,4.266,1581.7,6.538516651,-2077
9/25/2012 16:00,22.141,-96.578,4.266,1581.5,6.625299993,-2086
9/26/2012 0:00,22.148,-96.556,4.264,1582,1.312440475,-2143
9/26/2012 8:00,22.142,-96.574,4.263,1580.9,7.638514253,-2116
